issuerid;l_syns
1;"['Держава', 'DERZHAVA', '""Акционерный коммерческий банк ""Держава"" публичное акционерное общество""', 'DERZ', 'DERZP']"
2;"['Credit Bank of Moscow', 'CBOM RX', '""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" (публичное акционерное общество)', 'Credit Bank', 'мкб', 'Московский кредитный банк']"
3;"['Russian public joint-stock commercial roads Bank', 'РосДорБанк', 'roads Bank', 'RDRB', '""Российский акционерный коммерческий дорожный банк"" (публичное акционерное общество)', 'RosDorBank', 'Дорожный банк', 'Российский акционерный коммерческий дорожный банк', 'РДБанк']"
4;"['Акционерная компания ""АЛРОСА"" (публичное акционерное общество)', 'алроса', 'alrosa', 'ALRS RX']"
5;"['AVANGARD', 'AVAN', 'Акционерный Коммерческий банк ""АВАНГАРД"" - публичное акционерное общество', 'Авангард']"
6;"['bank ""Primorye""', 'банк Приморье', 'bank Primorye', 'public joint-stock commercial bank ""Primorye""', 'primbank', 'АКБ Приморье', 'PRMB', 'PJSCB Primorye', 'PJSCB ""Primorye""', 'банк ""Приморье""', 'АКБ ""Приморье""', 'акционерный коммерческий банк ""Приморье""(публичное акционерное общество)']"
7;['VTB', 'VTBR RX', 'ВТБ', 'Банк ВТБ (публичное акционерное общество)']
8;['Иркутскэнерго', 'Иркутское публичное акционерное общество энергетики и электрификации', 'Irkutskenergo', 'ИркЭнерго', 'IRGZ']
9;"['Органический синтез', 'KZOS', 'Казаньоргсинтез', 'kazanorgsintez', 'Казанское публичное акционерное общество ""Органический синтез""']"
10;"['Ленское золотодобывающее публичное акционерное общество ""Лензолото""', 'Lenzoloto', 'LNZL', 'Лензолото']"
11;"['RUAL RX', 'русал', 'Международная компания публичное акционерное общество ""Объединённая Компания ""РУСАЛ""', 'Объединённая компания ""Русал""', 'rusal']"
12;"['ENPG RX', 'Международная компания публичное акционерное общество ""ЭН+ ГРУП""', 'ENPL', 'EN+ Group Plc', 'En+ Group', 'эн+ груп']"
13;"['Белон ', 'BLNG', 'belon', 'Открытое акционерное общество ""Белон""']"
14;"['ДЗРД', 'Донской завод радиодеталей', 'DZRD', 'Открытое акционерное общество ""Донской завод радиодеталей""']"
