issuerid,l_syns
1,"['Держава', 'DERZP', 'DERZ', 'DERZHAVA', '""Акционерный коммерческий банк ""Держава"" публичное акционерное общество""']"
2,"['CBOM RX', '""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" (публичное акционерное общество)', 'Credit Bank of Moscow', 'Московский кредитный банк', 'мкб', 'Credit Bank', 'CBOM']"
3,"['РДБанк', 'roads Bank', 'Российский акционерный коммерческий дорожный банк', '""Российский акционерный коммерческий дорожный банк"" (публичное акционерное общество)', 'Russian public joint-stock commercial roads Bank', 'РосДорБанк', 'RosDorBank', 'Дорожный банк', 'RDRB']"
4,"['ALRS RX', 'alrosa', 'Акционерная компания ""АЛРОСА"" (публичное акционерное общество)', 'алроса', 'ALRS']"
5,"['AVANGARD', 'Авангард', 'AVAN', 'Акционерный Коммерческий банк ""АВАНГАРД"" - публичное акционерное общество']"
6,"['PRMB', 'АКБ Приморье', 'банк Приморье', 'акционерный коммерческий банк ""Приморье""(публичное акционерное общество)', 'public joint-stock commercial bank ""Primorye""', 'bank ""Primorye""', 'PJSCB ""Primorye""', 'PJSCB Primorye', 'АКБ ""Приморье""', 'primbank', 'bank Primorye', 'банк ""Приморье""']"
7,"['Банк ВТБ (публичное акционерное общество)', 'VTB', 'VTBR RX', 'ВТБ', 'VTBR']"
8,"['Irkutskenergo', 'IRGZ', 'ИркЭнерго', 'Иркутское публичное акционерное общество энергетики и электрификации', 'Иркутскэнерго']"
9,"['Органический синтез', 'Казанское публичное акционерное общество ""Органический синтез""', 'KZOS', 'Казаньоргсинтез', 'kazanorgsintez']"
10,"['Лензолото', 'Lenzoloto', 'LNZL', 'Ленское золотодобывающее публичное акционерное общество ""Лензолото""']"
11,"['Объединённая компания ""Русал""', 'Международная компания публичное акционерное общество ""Объединённая Компания ""РУСАЛ""', 'русал', 'rusal', 'RUAL RX', 'RUAL']"
12,"['En+ Group', 'ENPL', 'EN+ Group Plc', 'эн+ груп', 'Международная компания публичное акционерное общество ""ЭН+ ГРУП""', 'ENPG RX', 'ENPG']"
13,"['belon', 'Открытое акционерное общество ""Белон""', 'BLNG', 'Белон ']"
14,"['Открытое акционерное общество ""Донской завод радиодеталей""', 'DZRD', 'ДЗРД', 'Донской завод радиодеталей']"
15,"['Левенгук', 'LVHK', 'Открытое акционерное общество ""Левенгук""', 'levenhuk']"
16,"['ЛЭСК', 'LPSBG', 'lesk', 'Липецкая энергосбытовая компания', 'LPSB', 'Липецкая ЭСК', 'Открытое акционерное общество ""Липецкая энергосбытовая компания""']"
17,"['Россети Урал', 'MRKU', 'rosseti ural', 'Открытое акционерное общество ""Межрегиональная распределительная сетевая компания Урала""', 'Межрегиональная распределительная сетевая компания Урала', 'МРСК Урала']"
18,"['multisistema', 'MSST', 'Открытое акционерное общество ""Мультисистема""', 'Мультисистема']"
19,"['НПО Физика', 'NPOF', 'Научно-производственное объединение ""Физика""', 'npofizika', 'Открытое акционерное общество ""Научно-производственное объединение ""Физика""', 'НПО ""Физика""']"
20,"['MGNZG', 'Соликамский магниевый завод', 'ОАО СМЗ', 'Открытое акционерное общество ""Соликамский магниевый завод""', 'ОАО ""СМЗ""', 'MGNZ']"
21,"['Русская Аквакультура', 'Инаркт1Р1', 'inarctica', 'AQUA', 'Инарктика', 'Русское море', 'Публичноеакционерное общество ""Русская Аквакультура""']"
22,"['Абрау – Дюрсо', 'Абрау Дюрсо', 'ABRD', 'Публичное акционерное общество ""Абрау – Дюрсо""', 'abraudurso']"
23,"['UTAR', 'Публичное акционерное общество ""Авиакомпания ""ЮТэйр""']"
24,"['Публичное акционерное общество ""Акрон""', 'акрон', 'Acron', 'AKRN RX', 'AKRN']"
25,"['Публичное акционерное общество ""Акционерная нефтяная Компания ""Башнефть""', 'BANE RX', 'BANE']"
26,"['AFKS RX', 'Система', 'Публичное акционерное общество ""Акционерная финансовая корпорация ""Система""', 'АФК Система', 'AFKS']"
27,"['ALNU RX', 'Публичное акционерное общество ""АЛРОСА-Нюрба""', 'Алроса', 'Alrosa', 'ALNU']"
28,"['APTK RX', 'Публичное акционерное общество ""Аптечная сеть 36,6""', 'APTK']"
29,"['ACKO', 'Публичное акционерное общество ""АСКО-СТРАХОВАНИЕ""']"
30,"['ASSB', 'Публичное акционерное общество ""Астраханская энергосбытовая компания""', 'Астраханская ЭСБ']"
31,"['Публичное акционерное общество ""Ашинский металлургический завод""', 'AMEZ']"
32,"['Aeroflot', 'Аэрофлот', 'AFLT RX', 'Публичное акционерное общество ""Аэрофлот – российские авиалинии""', 'AFLT']"
33,"['Банк Петербург', 'БСПБ', 'BSPB RX', 'ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАНК ""САНКТ-ПЕТЕРБУРГ""', 'СПБ Банк', 'Банк Санкт-Петербург', 'BSPB']"
34,"['USBN', 'Публичное акционерное общество ""БАНК УРАЛСИБ""']"
35,"['BISV', 'Публичное акционерное общество ""Башинформсвязь""']"
36,"['Публичное акционерное общество ""Белуга Групп""', 'BELU RX', 'Белуга', 'Beluga', 'BELU']"
37,"['Публичное акционерное общество ""Бест Эффортс Банк""', 'ALBK']"
38,"['Публичное акционерное общество ""Бурятзолото""', 'BRZL']"
39,"['VJGZ', 'Публичное акционерное общество ""Варьеганнефтегаз""']"
40,"['Публичное акционерное общество ""Владимирский химический завод""']"
41,"['Публичное акционерное общество ""Волгоградэнергосбыт""']"
42,"['OGKB', 'Публичное акционерное общество ""Вторая генерирующая компания оптового рынка электроэнергии""']"
43,"['Публичное акционерное общество ""Выборгский судостроительный завод""']"
44,"['группа ГАЗ', 'GAZA', 'группа ""ГАЗ""', 'ПАО ""Газ""', 'Публичное акционерное общество ""ГАЗ""', 'ПАО Газ']"
45,"['газкон', 'GAZC', 'газкон-ао', 'Публичное акционерное общество ""ГАЗКОН""']"
46,"['RTGZ', 'Газпром РнД', 'Ростовоблгаз', 'ПАО ""Газпром газораспределение Ростов-на-Дону""', 'rostovoblgaz', 'Публичное акционерное общество ""Газпром газораспределение Ростов-на-Дону""']"
47,"['Публичное акционерное общество ""Газпром нефть""', 'Газпром нефть', 'SIBN RX', 'Gazprom Neft', 'ПАО ""Газпром нефть""', 'SIBN']"
48,"['Публичное акционерное общество ""Газпром""', 'gazp', 'GAZP RX', 'ПАО ""Газпром""', 'Gazprom', 'Газпром', 'GAZP']"
49,"['Публичное акционерное общество ""ГАЗ-сервис""', 'GAZS', 'ПАО ""ГАЗ-сервис""', 'gas-service']"
50,"['Публичное акционерное общество ""ГАЗ-Тек""', 'газ-тэк', 'gazt', 'gaz-tec']"
51,"['GTSS', 'геотек', 'ПАО «ГЕОТЕК Сейсморазведка»', 'Публичное акционерное общество ""ГЕОТЕК Сейсморазведка""', 'gseis']"
52,"['GTRK', 'Глобалтрак', 'Публичное акционерное общество ""ГЛОБАЛТРАК МЕНЕДЖМЕНТ""', 'Globaltruck']"
